Player,Team,Season,first_or_second,playerID
Tony Allen,Memphis Grizzlies,2015-16,2,2754
Tony Allen,Memphis Grizzlies,2014-15,1,2754
Tony Allen,Memphis Grizzlies,2012-13,1,2754
Tony Allen,Memphis Grizzlies,2011-12,1,2754
Tony Allen,Memphis Grizzlies,2010-11,2,2754
Tree Rollins,Atlanta Hawks,1983-84,1,78014
Tree Rollins,Atlanta Hawks,1982-83,2,78014
Tyson Chandler,New York Knicks,2012-13,1,2199
Tyson Chandler,New York Knicks,2011-12,2,2199
Tyson Chandler,Dallas Mavericks,2010-11,2,2199
Victor Oladipo,Indiana Pacers,2017-18,1,203506
Walt Frazier,New York Knicks,1974-75,1,76750
Walt Frazier,New York Knicks,1973-74,1,76750
Walt Frazier,New York Knicks,1972-73,1,76750
Walt Frazier,New York Knicks,1971-72,1,76750
Walt Frazier,New York Knicks,1970-71,1,76750
Walt Frazier,New York Knicks,1969-70,1,76750
Walt Frazier,New York Knicks,1968-69,1,76750
Willis Reed,New York Knicks,1969-70,1,77929
Wilt Chamberlain,Los Angeles Lakers,1972-73,1,76375
Wilt Chamberlain,Los Angeles Lakers,1971-72,1,76375
